	terminology	system	dataset	pair	chrf	comet	cometkiwi	consistency	regex	fuzzy90	tok_regex	tok_fuzzy90
23	base	opuscat-terms	blind	zh-en	24.538714604676983	0.5206331358233214	0.4995570759014914	0.3205275229357798	0.0690484369632428	0.1374098248024733	0.0742013053933356	0.123668842322226
24	term	lc_wmt23_single	blind	zh-en	32.615485376994656	0.6085942882011953	0.5890864171497114	0.6955275229357798	0.7605633802816901	0.7780831329440056	0.7743043627619375	0.747165922363449
25	base	uedin_decode_tag	blind	zh-en	26.694272965272592	0.5719522027815073	0.56173848810177	0.3451834862385321	0.1195465475781518	0.1958090003435245	0.1301958090003435	0.1903126073514256
26	rand	TSSNMT	test	zh-en	37.53236569564032	0.7202586220658344	0.7295260908810989	1.0	0.0408163265306122	0.0408163265306122	0.0408163265306122	0.0408163265306122
27	rand	DCU-TU-TR	blind	en-cs	70.52192337422855	0.8720874770437133	0.7956629139830772	0.7608610948762907	0.7987954074910597	0.8315452663278751	0.8644833427442123	0.8613777526821005
28	base	lc_wmt23_single	test	zh-en	21.888962248561786	0.4810792651651015	0.4590473352751314	0.23088455772113944	0.1460154241645244	0.1496143958868894	0.174293059125964	0.1640102827763496
29	base	lc_wmt23_single	test	de-en	59.60542864366229	0.8228354577937823	0.8142982040451707	0.7984886649874056	0.6527777777777778	0.6666666666666666	0.6689814814814815	0.6736111111111112
30	base	ForceGen_Transformer_filtered	blind	zh-en	37.10706216468018	0.6964566126665935	0.7113907771669464	0.6072247706422018	0.2483682583304706	0.3940226726210924	0.264170388182755	0.3826863620748884
31	term	HW-TSC	test	zh-en	36.83369022220527	0.6662937992568235	0.6675093934935068	0.5622188905547226	0.4740359897172236	0.4622107969151671	0.5290488431876607	0.4858611825192802
32	base	uedin_decode_tag_improved	test	de-en	59.92142532114195	0.8401485955000817	0.8312314120348027	0.8035264483627204	0.6782407407407407	0.6805555555555556	0.6921296296296297	0.6759259259259259
33	base	DCU-TU-TR	test	en-cs	46.67099895051423	0.7649313327524992	0.6716263639123252	0.5970772442588727	0.2236363636363636	0.2636363636363636	0.28	0.2690909090909091
34	rand	uedin_decode_tag	blind	zh-en	29.041958989801348	0.5986718439558227	0.5810000638496371	0.4173505275498241	0.0854877628403998	0.1334022750775594	0.087211306446053	0.1292657704239917
35	term	BJTU-LB_system1	test	zh-en	41.14296568194803	0.7339919975087215	0.7324969103981491	0.5862068965517241	0.5311053984575835	0.5177377892030849	0.5732647814910026	0.522879177377892
36	rand	uedin_llm_improved	blind	en-cs	67.925484629264	0.8823184055180447	0.8113051008116878	0.7424508084940581	0.7271786184829663	0.7852437417654808	0.8042537172971955	0.8168642951251647
37	base	uedin_decode_tag	test	en-cs	53.25376633605142	0.8738413046808279	0.8244671533616741	0.6659707724425887	0.2581818181818182	0.2981818181818181	0.3454545454545454	0.3509090909090909
38	base	uedin_twoshot	blind	en-cs	57.34513010463914	0.8333459347846427	0.8157218514721175	0.7935904928891486	0.372859025032938	0.466214944475814	0.4240542066629023	0.4834368530020704
39	rand	uedin_llm	blind	en-cs	57.162172857284745	0.8545000157515044	0.8247172433890665	0.7654393142411845	0.3935629587803501	0.4809900244682853	0.4460756634669678	0.5053642010163749
40	rand	opuscat-terms	blind	de-en	64.65800732349919	0.8096647283600661	0.767668692114557	0.6271889400921659	0.6499955974288985	0.6534296028880866	0.6582724310997623	0.6462974377036189
41	term	opuscat-terms	test	de-en	62.884525977221394	0.8445766152960531	0.8078639037376932	0.7934508816120905	0.5993690851735016	0.6246056782334385	0.6246056782334385	0.6529968454258676
42	rand	uedin_decode_tag	test	en-cs	60.24520893195461	0.872554050514314	0.7786395695995302	0.615866388308977	0.7290909090909091	0.7472727272727273	0.7781818181818182	0.7527272727272727
43	rand	TSSNMT	blind	zh-en	39.52518855633134	0.7182572120969946	0.7020999816330996	0.8888888888888888	0.208955223880597	0.208955223880597	0.208955223880597	0.208955223880597
44	term	uedin_decode_tag	test	de-en	61.69048990169963	0.8318451461050841	0.8053663250212366	0.783375314861461	0.6550925925925926	0.6782407407407407	0.6805555555555556	0.6805555555555556
45	rand	uedin_twoshot	test	de-en	62.11244749197146	0.8346054956930854	0.7987200949299201	0.7758186397984886	0.9328703703703703	0.8865740740740741	0.9305555555555556	0.8865740740740741
46	term	TSSNMT_filtered	test	zh-en	45.17624853232195	0.735137078166008	0.7112354151904583	0.7727272727272727	0.5102040816326531	0.5102040816326531	0.5102040816326531	0.5102040816326531
47	rand	opuscat-terms	blind	en-cs	71.18569746109979	0.875981786673319	0.8199113633835867	0.7829729203195013	0.6416337285902504	0.6850178806700545	0.6713721061547149	0.6923583662714098
48	term	uedin_decode_tag_improved	test	en-cs	58.01238972413852	0.8914215208662584	0.8263615104143093	0.592901878914405	0.3109090909090909	0.3454545454545454	0.4109090909090909	0.4036363636363636
49	rand	uedin_decode_tag_improved	blind	zh-en	39.57149942571549	0.7469668278414607	0.7459211943704267	0.5732708089097304	0.2116511547742157	0.2998965873836608	0.2140641158221303	0.2750775594622544
50	term	TSSNMT	blind	zh-en	43.31432257094564	0.752563586724656	0.722621886325734	0.9714285714285714	0.7794117647058824	0.7794117647058824	0.7941176470588235	0.7941176470588235
51	base	uedin_twoshot	test	de-en	61.09298845896549	0.8377130559544438	0.8286388092273184	0.801007556675063	0.6643518518518519	0.6782407407407407	0.6851851851851852	0.6851851851851852
52	rand	ForceGen_Transformer	test	zh-en	38.6586048517529	0.7108726179050255	0.7209572356653348	0.6133333333333333	0.0536986301369863	0.0745205479452054	0.0728767123287671	0.0843835616438356
53	term	lc_wmt23_single	test	de-en	58.739899850580414	0.7736652870191617	0.7353962585050962	0.7909319899244333	0.6134259259259259	0.6365740740740741	0.6435185185185185	0.6504629629629629
54	term	uedin_twoshot	test	en-cs	55.96749802384762	0.8792799841821863	0.8150984816783376	0.6200417536534447	0.3290909090909091	0.3745454545454545	0.4272727272727272	0.4236363636363636
